Sample,Population description,Superpopulation name
1,Philippines,Southeast Asia
2,Philippines,Southeast Asia
3,Philippines,Southeast Asia
4,Philippines,Southeast Asia
5,Philippines,Southeast Asia
6,Philippines,Southeast Asia
7,Philippines,Southeast Asia
8,Philippines,Southeast Asia
9,Philippines,Southeast Asia
10,Philippines,Southeast Asia
11,Philippines,Southeast Asia
12,Philippines,Southeast Asia
13,Philippines,Southeast Asia
14,Philippines,Southeast Asia
15,Philippines,Southeast Asia
16,Philippines,Southeast Asia
17,Philippines,Southeast Asia
18,Philippines,Southeast Asia
19,Philippines,Southeast Asia
20,Philippines,Southeast Asia
21,Philippines,Southeast Asia
22,Philippines,Southeast Asia
23,Philippines,Southeast Asia
24,Philippines,Southeast Asia
25,Philippines,Southeast Asia
26,Philippines,Southeast Asia
27,Philippines,Southeast Asia
28,Philippines,Southeast Asia
29,Philippines,Southeast Asia
30,Philippines,Southeast Asia
31,Philippines,Southeast Asia
32,Philippines,Southeast Asia
33,Philippines,Southeast Asia
34,Philippines,Southeast Asia
35,Philippines,Southeast Asia
36,Philippines,Southeast Asia
37,Philippines,Southeast Asia
38,Philippines,Southeast Asia
39,Philippines,Southeast Asia
40,Philippines,Southeast Asia
41,Philippines,Southeast Asia
42,Philippines,Southeast Asia
43,Philippines,Southeast Asia
44,Philippines,Southeast Asia
45,Philippines,Southeast Asia
46,Philippines,Southeast Asia
47,Philippines,Southeast Asia
48,Philippines,Southeast Asia
49,Philippines,Southeast Asia
50,Philippines,Southeast Asia
51,Philippines,Southeast Asia
52,Philippines,Southeast Asia
53,Philippines,Southeast Asia
54,Philippines,Southeast Asia
55,Indonesia,Southeast Asia
56,Indonesia,Southeast Asia
57,Indonesia,Southeast Asia
58,Indonesia,Southeast Asia
59,Indonesia,Southeast Asia
60,Indonesia,Southeast Asia
61,Indonesia,Southeast Asia
62,Indonesia,Southeast Asia
63,Indonesia,Southeast Asia
64,Indonesia,Southeast Asia
65,Indonesia,Southeast Asia
66,Indonesia,Southeast Asia
67,Indonesia,Southeast Asia
68,Indonesia,Southeast Asia
69,Indonesia,Southeast Asia
70,Indonesia,Southeast Asia
71,Indonesia,Southeast Asia
72,Indonesia,Southeast Asia
73,Indonesia,Southeast Asia
74,Indonesia,Southeast Asia
75,Indonesia,Southeast Asia
76,Indonesia,Southeast Asia
77,Indonesia,Southeast Asia
78,Indonesia,Southeast Asia
79,Indonesia,Southeast Asia
80,Indonesia,Southeast Asia
81,Indonesia,Southeast Asia
82,Indonesia,Southeast Asia
83,Indonesia,Southeast Asia
84,Indonesia,Southeast Asia
85,Myanmar,Southeast Asia
86,Myanmar,Southeast Asia
87,Myanmar,Southeast Asia
88,Myanmar,Southeast Asia
89,Myanmar,Southeast Asia
